level_0,index,date_m,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,PRECTOTCORR,RH2M,PS,WS10M,WD10M
0,0,2013-01-01,4.09,0.41,25.98,5.67,92.12,100.02,0.59,100.88
1,1,2013-01-02,4.29,0.43,25.44,11.37,95.5,100.0,0.59,219.19
2,2,2013-01-03,4.31,0.43,25.67,2.46,91.5,100.14,0.75,108.06
3,3,2013-01-04,4.76,0.48,25.89,2.24,90.5,100.23,0.9,96.06
4,4,2013-01-05,5.63,0.56,26.26,1.77,88.69,100.15,0.91,88.06
5,5,2013-01-06,4.64,0.46,26.34,1.09,87.38,100.03,0.88,79.0
6,6,2013-01-07,4.31,0.43,26.49,2.41,87.62,99.96,1.02,83.5
7,7,2013-01-08,5.55,0.55,26.6,1.67,86.44,99.99,0.83,76.69
8,8,2013-01-09,5.41,0.54,26.43,1.63,86.25,100.03,0.88,82.94
9,9,2013-01-10,4.44,0.45,26.67,0.2,85.0,99.95,0.88,114.75
10,10,2013-01-11,5.19,0.52,26.76,0.07,84.75,99.79,0.84,63.56
11,11,2013-01-12,5.78,0.58,27.24,0.0,79.81,99.76,0.74,83.38
12,12,2013-01-13,6.4,0.63,27.08,0.33,81.0,99.88,0.7,89.69
13,13,2013-01-14,4.7,0.47,25.95,3.81,89.94,99.94,0.59,149.12
14,14,2013-01-15,5.51,0.55,26.45,1.58,86.81,99.88,0.7,94.12
15,15,2013-01-16,6.06,0.6,26.85,0.89,84.31,99.86,0.73,87.25
16,16,2013-01-17,5.2,0.52,26.98,6.42,84.69,99.98,0.77,84.75
17,17,2013-01-18,5.14,0.51,26.35,16.52,88.94,100.07,0.59,124.19
18,18,2013-01-19,2.88,0.28,25.17,8.28,98.44,100.07,0.65,111.81
19,19,2013-01-20,4.64,0.46,26.22,1.57,87.94,99.97,0.82,90.44
20,20,2013-01-21,5.16,0.51,26.83,0.28,85.62,99.89,0.89,114.25
21,21,2013-01-22,6.25,0.62,27.37,0.0,82.62,99.99,0.8,76.75
22,22,2013-01-23,6.27,0.62,27.7,0.25,79.5,100.06,0.65,123.62
23,23,2013-01-24,5.44,0.53,26.03,0.94,88.5,100.14,0.57,167.25
24,24,2013-01-25,5.39,0.53,27.64,0.06,80.62,100.05,0.88,101.5
25,25,2013-01-26,6.03,0.59,28.23,0.0,76.31,100.01,0.9,76.75
26,26,2013-01-27,5.38,0.52,28.74,0.51,73.5,100.08,0.9,74.81
27,27,2013-01-28,2.89,0.28,27.53,1.27,82.38,100.12,0.76,76.94
28,28,2013-01-29,3.78,0.37,26.23,4.97,91.69,100.11,0.61,98.5
29,29,2013-01-30,4.44,0.43,27.42,3.58,82.12,100.0,0.77,86.06
30,30,2013-01-31,5.23,0.51,27.96,0.77,79.06,99.9,0.77,65.38
31,31,2013-02-01,5.49,0.53,27.74,2.34,81.06,99.86,0.61,78.62
32,32,2013-02-02,3.9,0.38,26.47,3.99,87.44,100.03,0.71,95.31
33,33,2013-02-03,2.48,0.24,25.73,8.88,91.56,99.98,0.76,103.5
34,34,2013-02-04,3.89,0.38,26.3,3.08,85.25,99.88,0.77,95.25
35,35,2013-02-05,4.0,0.39,26.96,6.25,84.75,99.91,0.66,82.75
36,36,2013-02-06,1.59,0.16,26.28,31.62,89.94,99.98,0.41,172.81
37,37,2013-02-07,2.56,0.25,26.09,14.13,92.5,99.99,0.58,93.31
38,38,2013-02-08,4.99,0.48,26.26,3.71,90.19,99.95,0.78,101.19
39,39,2013-02-09,4.63,0.45,25.16,14.01,95.62,99.99,0.47,109.81
40,40,2013-02-10,3.0,0.29,23.9,19.95,96.31,100.05,0.72,127.38
41,41,2013-02-11,3.09,0.3,23.58,7.68,94.75,100.1,0.68,158.88
42,42,2013-02-12,2.73,0.27,23.33,6.5,95.69,100.18,0.77,97.38
43,43,2013-02-13,5.88,0.56,24.7,1.62,88.88,100.12,0.66,88.19
44,44,2013-02-14,4.3,0.41,25.19,19.48,90.81,100.16,0.68,112.75
45,45,2013-02-15,1.94,0.19,24.15,8.74,95.38,100.23,0.62,135.12
46,46,2013-02-16,4.61,0.45,25.35,6.12,91.31,100.08,0.7,116.69
47,47,2013-02-17,3.94,0.38,25.05,9.31,93.56,100.09,0.7,113.62
48,48,2013-02-18,4.86,0.47,25.72,9.73,91.94,100.05,0.91,93.19
49,49,2013-02-19,4.88,0.47,24.98,5.99,93.56,100.06,1.01,79.56
50,50,2013-02-20,3.67,0.35,25.05,13.43,94.88,99.98,0.7,109.44
51,51,2013-02-21,3.41,0.33,25.45,12.22,93.19,99.99,0.73,88.62
52,52,2013-02-22,4.95,0.47,25.16,7.82,95.12,100.09,0.94,111.81
53,53,2013-02-23,2.38,0.23,25.34,5.78,93.38,100.1,0.61,171.69
54,54,2013-02-24,3.84,0.37,25.33,9.17,93.38,100.04,0.43,160.38
55,55,2013-02-25,3.83,0.37,24.54,6.51,96.38,100.01,0.73,91.75
56,56,2013-02-26,5.46,0.52,25.71,4.65,91.31,100.03,0.82,93.06
57,57,2013-02-27,5.33,0.51,26.62,3.99,90.19,100.01,0.78,92.5
58,58,2013-02-28,4.57,0.44,26.33,3.63,90.5,99.94,0.89,82.19
59,59,2013-03-01,5.32,0.51,26.28,0.57,86.94,99.9,0.7,89.31
60,60,2013-03-02,5.29,0.5,25.87,7.34,90.88,99.93,0.8,106.56
61,61,2013-03-03,3.17,0.3,25.28,16.13,93.94,100.14,0.84,81.25
62,62,2013-03-04,3.86,0.37,25.55,11.45,92.88,100.17,0.96,84.38
63,63,2013-03-05,5.1,0.48,25.7,5.75,91.88,100.14,0.77,92.44
64,64,2013-03-06,3.95,0.38,25.37,30.33,95.62,100.17,0.66,88.69
65,65,2013-03-07,2.53,0.24,25.54,9.45,91.62,100.29,0.83,92.25
66,66,2013-03-08,4.01,0.38,26.15,0.52,89.69,100.26,0.86,104.5
67,67,2013-03-09,5.56,0.53,26.57,7.96,90.19,100.12,0.77,109.5
