date_m,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,PRECTOTCORR,RH2M,PS,WS10M,WD10M
2013-01-01,4.9,0.47,25.03,10.3,92.38,99.8,0.65,86.81
2013-01-02,5.24,0.5,25.32,10.92,91.69,99.75,0.68,114.5
2013-01-03,2.26,0.22,24.84,14.6,94.62,99.88,0.88,127.06
2013-01-04,3.97,0.38,25.73,14.03,92.25,99.92,0.77,98.75
2013-01-05,4.14,0.4,26.23,3.17,88.75,99.84,0.78,40.56
2013-01-06,4.62,0.45,26.59,0.12,87.31,99.69,0.75,87.88
2013-01-07,3.78,0.36,26.14,10.99,90.94,99.64,0.75,62.62
2013-01-08,3.38,0.32,26.26,17.13,90.56,99.67,0.59,92.0
2013-01-09,4.69,0.45,26.33,32.96,93.5,99.73,0.69,95.12
2013-01-10,3.56,0.34,25.57,10.49,97.25,99.72,0.79,146.44
2013-01-11,3.48,0.34,26.01,18.31,92.88,99.54,0.65,206.62
2013-01-12,3.96,0.38,25.76,11.32,94.69,99.49,0.75,197.94
2013-01-13,4.38,0.42,26.12,2.93,90.38,99.56,0.66,214.06
2013-01-14,4.11,0.39,25.74,5.86,93.5,99.63,0.64,62.88
2013-01-15,2.42,0.23,25.16,50.81,94.06,99.58,0.62,60.12
2013-01-16,4.7,0.45,24.98,25.47,95.88,99.57,0.68,88.19
2013-01-17,5.97,0.57,25.83,6.47,92.94,99.71,0.73,99.06
2013-01-18,5.06,0.48,26.38,3.05,92.06,99.79,0.76,112.06
2013-01-19,5.42,0.52,26.49,4.68,90.5,99.71,0.64,78.62
2013-01-20,5.67,0.54,26.26,17.7,92.62,99.64,0.65,63.12
2013-01-21,2.09,0.2,25.87,19.65,94.06,99.63,0.69,88.06
2013-01-22,3.37,0.32,25.06,0.7,93.38,99.82,0.73,185.62
2013-01-23,3.04,0.29,25.73,2.67,91.75,99.89,0.73,228.69
2013-01-24,6.3,0.59,26.71,0.07,90.31,99.81,0.75,207.44
2013-01-25,5.85,0.55,26.78,1.1,91.06,99.69,0.68,89.75
2013-01-26,4.75,0.45,26.09,10.74,94.62,99.71,0.52,91.75
2013-01-27,1.72,0.16,25.95,20.9,93.94,99.83,0.66,115.56
2013-01-28,5.04,0.48,27.12,1.08,85.88,99.88,0.59,139.38
2013-01-29,4.17,0.39,26.75,0.35,85.25,99.81,0.38,105.31
2013-01-30,4.97,0.47,26.89,0.06,85.31,99.71,0.55,110.94
2013-01-31,5.88,0.55,26.55,0.81,89.81,99.55,0.77,60.56
2013-02-01,3.66,0.34,26.05,0.31,92.88,99.61,0.63,65.0
2013-02-02,4.17,0.39,26.51,0.03,88.69,99.69,0.61,108.56
2013-02-03,4.53,0.43,26.15,0.92,91.31,99.66,0.73,56.56
2013-02-04,1.72,0.16,25.32,29.53,93.56,99.68,0.65,169.75
2013-02-05,3.84,0.36,25.79,2.68,89.25,99.77,0.72,191.88
2013-02-06,5.55,0.52,26.09,0.11,86.88,99.74,0.49,118.88
2013-02-07,3.79,0.36,26.24,2.48,90.38,99.62,0.65,40.31
2013-02-08,4.06,0.38,26.29,3.46,91.88,99.58,0.63,88.31
2013-02-09,3.58,0.34,25.95,4.55,92.81,99.65,0.78,146.69
2013-02-10,3.24,0.3,24.51,5.44,97.06,99.77,0.57,141.12
2013-02-11,6.3,0.59,25.22,13.43,92.56,99.74,0.88,44.12
2013-02-12,5.5,0.52,25.35,31.15,93.25,99.76,0.8,53.0
2013-02-13,3.25,0.3,25.07,12.97,92.31,99.8,0.6,103.12
2013-02-14,4.06,0.38,25.23,1.37,90.88,99.87,0.7,46.44
2013-02-15,4.3,0.41,25.38,4.0,89.25,99.92,0.68,62.19
2013-02-16,4.83,0.45,24.84,1.58,90.38,99.8,0.58,218.81
