date_m,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,PRECTOTCORR,RH2M,PS,WS10M,WD10M
2013-01-01,5.77,0.55,26.07,12.32,90.0,100.45,0.91,88.56
2013-01-02,3.84,0.37,25.4,13.85,93.19,100.44,0.7,157.0
2013-01-03,4.5,0.43,25.84,6.96,88.19,100.56,0.97,48.81
2013-01-04,3.7,0.35,25.82,10.73,89.19,100.64,0.71,126.56
2013-01-05,4.68,0.45,26.17,4.75,88.12,100.57,0.97,53.31
2013-01-06,4.7,0.45,26.41,8.44,89.5,100.43,1.02,81.56
2013-01-07,5.91,0.57,26.62,7.12,90.69,100.35,1.23,79.19
2013-01-08,5.06,0.48,26.71,1.89,90.5,100.4,1.12,88.38
2013-01-09,4.15,0.4,26.84,2.11,89.12,100.42,1.17,88.06
2013-01-10,4.79,0.46,27.11,1.07,86.06,100.38,0.86,108.19
2013-01-11,4.47,0.43,26.76,5.42,87.81,100.19,0.97,277.0
2013-01-12,1.73,0.16,26.48,6.97,88.69,100.19,0.91,191.0
2013-01-13,4.75,0.45,26.5,6.6,89.62,100.3,0.98,91.88
2013-01-14,4.32,0.41,25.92,7.13,92.94,100.37,1.04,102.5
2013-01-15,4.62,0.44,26.2,4.32,90.69,100.29,1.12,72.56
2013-01-16,4.58,0.44,25.98,8.7,92.81,100.28,1.03,98.12
2013-01-17,4.75,0.45,26.62,6.21,91.44,100.4,1.04,92.12
2013-01-18,4.94,0.47,25.54,10.37,95.69,100.55,0.97,111.44
2013-01-19,4.3,0.41,26.36,1.22,90.0,100.43,1.0,79.75
2013-01-20,5.9,0.56,26.78,1.62,87.56,100.39,1.1,73.0
2013-01-21,5.59,0.53,27.0,6.48,86.62,100.32,0.91,98.44
2013-01-22,4.47,0.42,27.03,3.86,87.62,100.42,1.13,107.31
2013-01-23,5.72,0.54,26.81,6.84,88.44,100.5,0.54,135.88
2013-01-24,3.84,0.37,26.55,15.08,88.75,100.53,0.56,73.31
2013-01-25,5.43,0.52,26.46,4.34,91.0,100.45,1.09,63.06
2013-01-26,5.57,0.53,26.92,4.5,90.69,100.43,1.15,97.25
2013-01-27,6.16,0.59,27.65,1.84,87.44,100.5,1.06,105.44
2013-01-28,2.97,0.28,26.82,26.61,92.69,100.53,0.98,126.62
2013-01-29,4.44,0.42,26.37,10.9,92.38,100.52,0.81,149.81
2013-01-30,5.0,0.47,26.81,3.54,89.38,100.44,1.09,57.19
2013-01-31,5.47,0.52,27.17,1.34,87.5,100.28,1.11,53.5
2013-02-01,3.92,0.37,26.56,35.17,91.25,100.31,0.79,91.5
2013-02-02,3.94,0.38,26.11,11.42,91.62,100.43,1.18,88.94
2013-02-03,4.32,0.41,26.26,9.9,90.75,100.39,1.02,100.19
2013-02-04,4.54,0.43,25.88,14.65,90.38,100.34,0.9,116.81
2013-02-05,3.75,0.35,25.83,17.6,93.31,100.41,0.88,210.06
2013-02-06,4.06,0.38,25.48,7.16,91.31,100.47,0.82,158.06
2013-02-07,4.92,0.46,26.02,1.21,84.5,100.37,0.84,170.25
2013-02-08,3.93,0.37,25.82,1.2,90.31,100.36,1.27,53.88
2013-02-09,3.81,0.36,25.88,19.53,93.44,100.38,1.12,86.44
2013-02-10,4.41,0.41,25.46,15.39,92.75,100.46,0.95,90.31
2013-02-11,1.88,0.18,24.84,20.83,93.62,100.5,0.77,144.19
2013-02-12,4.94,0.46,25.0,5.75,91.44,100.55,1.05,68.88
2013-02-13,6.08,0.57,25.14,11.3,90.69,100.52,1.04,51.56
2013-02-14,3.52,0.33,25.15,11.4,89.5,100.59,0.83,153.31
2013-02-15,4.48,0.42,24.98,33.53,90.38,100.64,1.02,77.25
2013-02-16,5.71,0.54,25.5,19.21,89.0,100.48,1.09,84.44
2013-02-17,4.89,0.46,25.1,16.47,93.88,100.47,1.16,57.44
2013-02-18,6.24,0.59,26.32,4.73,87.31,100.47,1.07,80.94
2013-02-19,4.9,0.46,25.87,23.15,90.25,100.45,1.16,117.62
2013-02-20,5.83,0.55,25.34,24.07,92.94,100.4,1.11,56.25
2013-02-21,5.45,0.51,25.76,10.1,90.38,100.4,1.06,54.75
2013-02-22,5.68,0.53,25.87,4.45,88.56,100.51,0.91,129.94
2013-02-23,4.68,0.44,25.73,7.19,89.5,100.52,0.84,162.94
2013-02-24,4.45,0.41,26.25,3.56,87.94,100.42,1.05,179.69
2013-02-25,5.68,0.53,26.27,6.18,91.75,100.35,1.11,76.88
2013-02-26,6.38,0.6,26.71,3.22,88.62,100.41,1.24,77.12
2013-02-27,5.17,0.48,26.69,12.18,90.75,100.44,1.14,102.44
2013-02-28,3.68,0.34,26.12,18.19,94.12,100.36,1.12,105.94
2013-03-01,3.7,0.34,26.48,6.87,91.25,100.3,1.09,86.88
2013-03-02,4.92,0.46,26.91,4.98,88.94,100.31,1.03,88.62
2013-03-03,3.18,0.3,25.87,22.66,94.19,100.56,0.96,101.25
2013-03-04,5.01,0.47,25.97,10.85,89.69,100.6,1.01,96.19
2013-03-05,5.33,0.5,25.68,11.09,90.5,100.58,0.75,161.19
2013-03-06,3.32,0.31,26.22,15.31,88.44,100.58,0.58,248.75
2013-03-07,3.64,0.34,25.56,2.64,92.0,100.7,1.09,92.12
2013-03-08,5.3,0.5,26.29,0.94,88.69,100.69,1.02,95.56
2013-03-09,5.24,0.49,26.74,3.56,88.44,100.52,1.16,74.5
2013-03-10,5.75,0.55,27.12,0.62,88.06,100.41,1.3,74.62
2013-03-11,5.84,0.55,27.05,1.88,88.62,100.28,1.08,106.94
2013-03-12,5.27,0.5,27.13,2.31,89.12,100.33,1.16,82.56
2013-03-13,6.15,0.59,27.22,7.41,88.62,100.34,1.04,66.94
2013-03-14,2.03,0.2,26.27,11.71,90.62,100.4,0.89,109.06
2013-03-15,4.91,0.47,26.02,15.9,92.12,100.35,0.94,122.88
2013-03-16,4.32,0.41,26.48,13.05,89.5,100.41,0.81,85.88
2013-03-17,2.44,0.23,25.82,39.5,91.81,100.56,0.92,119.25
2013-03-18,3.82,0.37,25.7,6.0,89.56,100.56,0.8,141.0
2013-03-19,5.33,0.51,25.67,22.37,92.94,100.45,0.95,91.31
