date_m,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,PRECTOTCORR,RH2M,PS,WS10M,WD10M
2013-01-01,5.02,0.48,26.08,13.92,91.12,100.59,0.8,94.62
2013-01-02,3.45,0.34,25.94,18.67,91.12,100.58,0.82,141.19
2013-01-03,4.12,0.4,25.84,4.78,91.5,100.71,0.88,125.12
2013-01-04,3.33,0.32,26.18,15.39,92.5,100.78,0.97,74.69
2013-01-05,4.07,0.4,26.48,12.07,91.94,100.71,0.95,69.06
2013-01-06,3.35,0.33,26.51,23.91,92.25,100.58,1.02,78.06
2013-01-07,4.41,0.43,26.39,15.05,91.88,100.52,1.02,69.44
2013-01-08,4.72,0.46,26.44,5.78,92.81,100.55,0.95,72.94
2013-01-09,4.13,0.4,26.77,5.8,91.19,100.57,0.92,86.0
2013-01-10,5.54,0.54,27.0,5.82,89.31,100.52,0.74,115.88
2013-01-11,4.85,0.47,26.08,3.91,92.31,100.35,0.83,257.06
2013-01-12,4.63,0.45,26.54,2.28,88.81,100.34,0.45,80.62
2013-01-13,5.29,0.51,25.77,13.93,94.81,100.48,0.82,112.81
2013-01-14,2.74,0.27,25.81,16.61,93.31,100.53,0.95,93.81
2013-01-15,5.79,0.55,26.15,3.56,91.88,100.45,0.89,78.69
2013-01-16,4.46,0.43,26.22,5.14,92.12,100.44,0.92,92.69
2013-01-17,5.03,0.48,26.8,4.64,90.94,100.56,0.94,88.31
2013-01-18,4.09,0.39,26.33,14.68,93.12,100.69,0.84,106.75
2013-01-19,3.5,0.34,26.49,4.65,91.88,100.59,0.8,82.94
2013-01-20,5.11,0.49,26.73,2.16,89.69,100.55,0.95,72.38
2013-01-21,5.5,0.52,27.29,2.63,87.75,100.47,0.94,80.94
2013-01-22,5.27,0.51,27.35,1.98,87.94,100.56,0.79,97.88
2013-01-23,6.04,0.58,26.95,23.25,89.0,100.65,0.7,140.31
2013-01-24,2.4,0.23,26.25,50.7,93.0,100.68,0.67,66.0
2013-01-25,4.73,0.45,26.61,13.78,92.69,100.61,0.95,58.38
2013-01-26,6.3,0.6,27.12,4.51,90.25,100.59,1.05,93.44
2013-01-27,5.95,0.57,27.54,2.42,89.12,100.65,0.97,93.44
2013-01-28,4.72,0.45,27.31,19.51,91.31,100.68,0.78,102.62
2013-01-29,4.47,0.42,26.68,7.82,92.0,100.68,0.67,108.25
2013-01-30,4.54,0.43,26.6,10.07,91.0,100.59,0.85,63.12
2013-01-31,5.05,0.48,27.08,2.26,89.75,100.44,1.08,69.69
2013-02-01,4.97,0.47,26.38,21.16,94.56,100.47,0.84,99.75
2013-02-02,3.68,0.35,26.21,4.63,91.5,100.6,0.93,91.5
2013-02-03,4.65,0.44,26.33,20.53,92.62,100.54,0.84,93.19
2013-02-04,4.74,0.45,25.8,11.76,92.94,100.48,0.84,116.06
2013-02-05,4.69,0.45,25.93,26.46,94.69,100.54,0.84,173.44
2013-02-06,4.15,0.39,25.33,19.41,95.62,100.61,0.88,197.0
