date_m,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,PRECTOTCORR,RH2M,PS,WS10M,WD10M
2013-01-01,4.0,0.38,24.79,0.86,92.25,99.04,0.61,172.75
2013-01-02,4.95,0.47,25.26,0.84,89.75,99.01,0.59,81.44
2013-01-03,5.31,0.5,24.45,36.01,94.12,99.14,0.7,150.44
2013-01-04,4.16,0.39,25.63,17.13,91.19,99.18,0.61,121.75
2013-01-05,3.81,0.36,24.99,20.15,97.25,99.1,0.68,126.31
2013-01-06,3.63,0.34,25.63,4.54,89.5,98.96,0.61,32.44
2013-01-07,3.54,0.34,25.85,3.75,89.75,98.89,0.64,63.69
2013-01-08,3.27,0.3,25.83,14.01,92.94,98.94,0.65,72.44
2013-01-09,3.64,0.34,26.12,7.62,90.19,99.01,0.48,109.31
2013-01-10,3.52,0.33,25.79,18.98,93.94,99.0,0.57,170.62
2013-01-11,2.71,0.26,25.88,12.21,92.06,98.8,0.52,217.75
2013-01-12,2.89,0.27,25.25,1.27,94.0,98.71,0.84,311.81
2013-01-13,4.27,0.4,25.24,10.36,92.31,98.82,0.74,233.12
2013-01-14,3.25,0.3,24.39,18.22,96.75,98.88,0.62,267.25
2013-01-15,3.22,0.3,24.73,20.34,94.25,98.83,0.64,257.06
2013-01-16,4.62,0.43,24.64,5.79,93.81,98.83,0.65,51.62
2013-01-17,5.43,0.51,25.17,3.6,92.44,99.0,0.7,90.69
2013-01-18,4.59,0.43,25.56,0.62,90.19,99.07,0.8,111.88
2013-01-19,5.59,0.52,25.76,0.51,89.94,98.98,0.59,52.81
2013-01-20,6.36,0.59,25.73,9.16,90.88,98.91,0.73,64.94
2013-01-21,2.52,0.23,25.0,32.26,96.5,98.92,0.69,119.75
2013-01-22,2.9,0.27,24.64,2.63,94.56,99.12,0.59,183.0
2013-01-23,3.31,0.31,25.73,3.25,91.12,99.14,0.55,186.88
2013-01-24,5.57,0.52,26.26,0.97,91.12,99.04,0.67,157.94
2013-01-25,6.27,0.59,26.55,8.77,91.69,98.92,0.66,297.81
2013-01-26,4.78,0.45,25.83,7.91,95.75,98.98,0.72,148.94
2013-01-27,1.73,0.16,25.57,58.01,95.19,99.1,0.64,84.62
2013-01-28,4.88,0.45,26.43,15.27,90.62,99.12,0.55,118.06
2013-01-29,4.59,0.43,25.7,20.89,94.19,99.05,0.68,238.62
2013-01-30,4.36,0.41,26.05,2.83,91.56,98.94,0.62,120.5
2013-01-31,4.79,0.45,25.68,8.54,94.0,98.82,0.55,103.5
2013-02-01,4.02,0.38,26.06,3.04,91.88,98.86,0.61,81.88
2013-02-02,4.63,0.43,26.48,0.09,88.69,98.93,0.66,214.38
2013-02-03,3.59,0.34,25.07,9.6,95.06,98.93,0.66,47.81
2013-02-04,2.47,0.23,24.35,11.36,93.62,98.94,0.62,196.5
2013-02-05,4.79,0.45,25.05,0.62,88.25,99.05,0.52,210.12
2013-02-06,4.33,0.41,25.67,0.48,85.69,98.97,0.59,223.56
2013-02-07,4.23,0.39,25.57,32.94,92.88,98.87,0.66,145.31
2013-02-08,4.26,0.4,25.3,30.97,96.0,98.87,0.54,112.81
2013-02-09,2.51,0.23,25.84,3.28,90.0,98.9,0.56,55.81
2013-02-10,4.18,0.39,24.8,0.22,93.12,98.96,0.54,114.62
2013-02-11,5.37,0.5,25.26,2.23,89.19,98.97,0.8,25.44
2013-02-12,4.88,0.45,24.74,13.71,93.06,99.0,0.84,59.75
2013-02-13,1.03,0.09,24.13,24.8,95.94,99.04,0.63,71.81
2013-02-14,3.67,0.34,24.64,2.46,91.5,99.13,0.58,69.94
2013-02-15,5.3,0.49,24.62,2.46,88.94,99.18,0.74,57.0
2013-02-16,5.32,0.49,25.6,0.52,87.56,99.02,0.56,176.44
2013-02-17,5.22,0.48,25.99,0.0,87.62,98.94,0.59,178.25
2013-02-18,5.11,0.48,25.92,0.68,87.81,99.02,0.75,113.38
2013-02-19,2.7,0.25,25.83,4.29,89.19,99.02,0.59,135.38
2013-02-20,5.53,0.52,24.69,20.41,95.38,98.94,0.62,114.94
2013-02-21,5.1,0.48,25.32,24.78,91.56,98.95,0.55,66.62
2013-02-22,2.18,0.2,24.63,22.02,94.12,99.12,0.65,86.62
2013-02-23,4.19,0.39,25.38,5.78,90.75,99.05,0.62,99.94
2013-02-24,5.8,0.54,25.77,0.23,89.81,98.9,0.71,158.62
2013-02-25,6.71,0.62,26.16,0.28,89.62,98.82,0.7,27.0
2013-02-26,5.52,0.52,25.95,5.79,90.94,98.97,0.77,117.0
2013-02-27,4.97,0.46,25.07,13.92,93.38,99.12,0.62,223.88
2013-02-28,4.79,0.45,24.73,7.72,93.75,99.0,0.5,132.0
2013-03-01,4.88,0.45,25.68,18.8,90.56,98.89,0.5,144.06
2013-03-02,3.55,0.34,24.68,21.93,96.06,98.97,0.62,271.5
2013-03-03,4.81,0.45,25.23,16.8,92.88,99.13,0.77,130.56
2013-03-04,4.18,0.39,24.51,23.45,92.88,99.24,0.59,108.88
2013-03-05,1.8,0.17,24.8,5.02,91.56,99.2,0.42,135.0
2013-03-06,5.85,0.55,25.76,0.03,88.06,99.09,0.62,46.38
2013-03-07,4.9,0.46,25.1,8.24,94.12,99.19,0.67,58.75
2013-03-08,4.11,0.39,24.99,7.05,92.81,99.24,0.77,104.0
2013-03-09,5.1,0.48,26.01,0.3,89.06,99.07,0.82,78.94
2013-03-10,5.98,0.56,25.65,9.48,92.06,98.99,0.7,38.12
2013-03-11,4.85,0.46,25.37,1.76,92.56,98.93,0.75,99.88
2013-03-12,4.93,0.47,26.4,0.1,89.44,98.9,0.73,166.5
2013-03-13,3.91,0.38,26.12,14.46,92.56,98.95,0.57,313.75
2013-03-14,4.51,0.43,25.27,8.63,94.69,98.96,0.55,141.25
2013-03-15,5.43,0.52,25.24,2.95,90.81,98.96,0.58,107.25
2013-03-16,2.83,0.27,24.96,3.65,93.38,99.09,0.62,123.56
2013-03-17,2.88,0.27,24.77,7.4,93.12,99.16,0.72,149.31
2013-03-18,5.45,0.52,25.32,7.89,91.81,99.08,0.65,63.25
2013-03-19,3.35,0.32,25.84,1.13,91.25,98.93,0.63,168.06
2013-03-20,4.34,0.41,25.71,7.49,93.81,98.83,0.74,185.62
2013-03-21,5.78,0.55,25.83,9.32,94.88,98.9,0.49,94.81
2013-03-22,1.22,0.12,24.85,3.79,94.12,99.23,0.54,133.81
2013-03-23,5.54,0.53,25.79,0.14,88.62,99.01,0.48,89.69
2013-03-24,6.24,0.6,26.19,0.36,88.69,98.85,0.72,97.19
2013-03-25,5.89,0.57,26.06,0.17,90.56,98.81,0.75,90.88
2013-03-26,6.45,0.62,26.03,1.27,91.44,99.0,0.69,90.0
2013-03-27,1.5,0.15,24.94,45.25,94.88,99.2,0.7,152.06
2013-03-28,4.34,0.42,24.69,1.94,92.81,99.22,0.68,229.25
2013-03-29,4.51,0.44,24.98,1.48,92.56,99.17,0.69,178.56
2013-03-30,5.24,0.52,24.77,8.68,95.5,99.23,0.78,167.75
2013-03-31,4.59,0.45,24.65,2.02,93.69,99.2,0.71,100.31
2013-04-01,4.69,0.46,25.09,19.81,92.5,99.15,0.73,104.06
2013-04-02,4.46,0.44,24.95,7.7,93.75,99.19,0.7,128.81
2013-04-03,3.59,0.35,25.37,8.98,92.88,99.17,0.7,202.19
2013-04-04,5.48,0.55,25.15,31.95,94.38,99.13,0.57,152.56
2013-04-05,5.24,0.52,25.8,2.54,91.75,99.12,0.65,172.31
2013-04-06,4.05,0.41,26.31,2.19,90.62,99.08,0.61,47.75
2013-04-07,5.41,0.54,25.81,3.53,93.44,99.08,0.54,116.75
