date_m,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,PRECTOTCORR,RH2M,PS,WS10M,WD10M
2013-01-01,4.35,0.44,25.04,21.39,95.56,99.29,0.61,132.38
2013-01-02,3.64,0.37,24.59,5.36,94.38,99.27,0.55,177.12
2013-01-03,2.0,0.2,25.07,23.91,95.0,99.39,0.8,205.94
2013-01-04,3.32,0.34,25.95,5.01,91.25,99.44,0.6,145.62
2013-01-05,4.59,0.46,25.63,7.43,93.0,99.39,0.49,84.62
2013-01-06,5.29,0.54,26.3,2.25,89.62,99.22,0.59,149.56
2013-01-07,4.16,0.42,26.47,1.03,88.75,99.16,0.72,126.06
2013-01-08,3.71,0.38,26.44,0.27,89.06,99.18,0.62,110.12
2013-01-09,3.97,0.4,26.68,9.83,91.12,99.22,0.66,122.25
2013-01-10,3.1,0.31,26.08,6.04,96.62,99.19,0.5,121.06
2013-01-11,3.05,0.3,25.78,0.43,90.94,99.08,0.66,286.06
2013-01-12,6.46,0.65,25.69,0.02,87.25,99.03,0.62,196.38
2013-01-13,6.36,0.64,26.62,0.0,87.62,99.08,0.77,86.12
2013-01-14,5.52,0.55,26.73,0.0,89.5,99.14,0.76,63.81
2013-01-15,5.93,0.59,26.09,9.21,92.06,99.09,0.66,113.94
2013-01-16,5.87,0.59,25.96,4.48,92.94,99.09,0.73,99.5
2013-01-17,4.87,0.48,26.29,1.82,91.38,99.19,0.81,40.69
2013-01-18,2.45,0.24,26.15,7.0,94.19,99.3,0.61,111.06
2013-01-19,4.3,0.43,26.82,2.24,90.5,99.2,0.66,156.75
2013-01-20,4.41,0.44,26.07,13.05,93.75,99.2,0.62,103.81
2013-01-21,2.86,0.28,25.2,8.41,95.0,99.16,0.48,110.44
2013-01-22,3.12,0.31,25.51,1.33,93.88,99.29,0.54,66.69
2013-01-23,2.14,0.21,25.23,46.35,97.06,99.4,0.54,228.81
2013-01-24,5.44,0.54,25.77,5.58,93.5,99.38,0.67,236.81
2013-01-25,5.56,0.55,26.59,0.21,90.38,99.24,0.85,69.06
2013-01-26,5.86,0.58,27.24,0.4,87.38,99.21,0.63,86.12
2013-01-27,4.01,0.4,26.06,4.03,93.12,99.34,0.66,171.62
2013-01-28,3.74,0.37,25.12,17.41,96.31,99.43,0.6,236.56
2013-01-29,1.98,0.2,25.38,13.99,94.38,99.37,0.41,186.88
2013-01-30,4.57,0.45,26.2,1.65,91.06,99.28,0.65,110.31
2013-01-31,4.89,0.48,26.44,8.42,91.19,99.11,0.83,45.44
2013-02-01,5.36,0.52,26.53,2.43,91.06,99.09,0.79,124.31
2013-02-02,4.8,0.47,25.8,29.01,95.0,99.24,0.62,137.44
2013-02-03,4.35,0.42,25.63,21.22,94.88,99.21,0.75,201.19
2013-02-04,3.64,0.35,25.27,4.42,93.31,99.16,0.66,153.25
2013-02-05,3.58,0.35,25.44,0.18,90.75,99.23,0.6,161.19
2013-02-06,1.94,0.19,24.45,18.56,95.81,99.31,0.65,142.38
2013-02-07,5.72,0.55,25.68,1.88,90.44,99.16,0.68,99.25
2013-02-08,3.02,0.3,25.77,18.09,94.19,99.14,0.77,84.44
2013-02-09,3.79,0.37,25.4,5.41,93.12,99.23,0.55,103.44
2013-02-10,1.73,0.16,24.64,10.49,95.88,99.31,0.58,185.12
2013-02-11,4.5,0.44,24.87,9.79,93.5,99.3,0.6,89.25
2013-02-12,4.65,0.45,24.83,32.26,95.31,99.31,0.77,95.88
2013-02-13,1.87,0.18,24.35,15.51,95.19,99.36,0.71,108.75
2013-02-14,4.03,0.39,24.73,36.76,94.56,99.38,0.73,98.38
2013-02-15,3.54,0.34,24.48,8.79,95.44,99.44,0.63,113.88
2013-02-16,5.97,0.58,25.48,2.93,89.25,99.29,0.73,138.31
2013-02-17,3.84,0.37,25.21,8.96,94.56,99.24,0.61,218.0
2013-02-18,5.05,0.48,24.98,23.46,94.25,99.3,0.69,146.12
