date_m,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,PRECTOTCORR,RH2M,PS,WS10M,WD10M
2013-01-01,5.08,0.48,25.36,23.7,96.56,100.08,0.46,192.56
2013-01-02,4.01,0.38,25.4,5.58,92.5,100.08,0.53,171.88
2013-01-03,5.24,0.49,25.87,10.14,90.69,100.17,0.57,141.19
2013-01-04,3.76,0.35,25.23,6.2,97.44,100.25,0.51,280.0
2013-01-05,5.33,0.5,25.87,5.65,91.44,100.19,0.63,59.69
2013-01-06,3.59,0.34,25.64,26.2,93.5,100.07,0.61,62.5
2013-01-07,5.81,0.54,26.26,11.12,89.62,99.98,0.75,48.19
2013-01-08,5.31,0.49,25.95,43.39,94.06,100.04,0.57,81.81
2013-01-09,3.66,0.34,25.62,34.55,95.88,100.08,0.66,152.56
2013-01-10,2.65,0.25,25.86,15.39,94.88,100.05,0.5,212.69
2013-01-11,4.41,0.41,25.44,4.3,92.81,99.85,0.77,269.31
2013-01-12,3.49,0.33,25.67,2.39,92.31,99.75,0.88,272.88
2013-01-13,2.46,0.23,26.05,13.67,92.5,99.87,0.73,106.75
2013-01-14,3.05,0.28,25.76,3.87,92.81,99.94,0.68,201.44
2013-01-15,3.54,0.33,25.57,14.27,93.94,99.91,0.76,45.5
2013-01-16,4.26,0.4,25.69,10.4,92.25,99.9,0.59,69.12
2013-01-17,6.15,0.57,26.31,0.53,87.44,100.04,0.81,83.75
2013-01-18,2.73,0.26,25.54,46.93,96.56,100.15,0.65,102.69
2013-01-19,6.66,0.62,26.36,45.87,90.19,100.04,0.51,81.88
2013-01-20,5.7,0.53,25.75,13.94,93.19,100.0,0.67,69.0
2013-01-21,1.23,0.12,26.22,9.79,92.81,99.96,0.69,104.19
2013-01-22,4.17,0.39,26.11,2.3,92.81,100.1,0.8,172.12
2013-01-23,5.05,0.47,26.37,0.11,91.31,100.15,0.53,236.69
2013-01-24,4.54,0.42,26.49,40.04,92.88,100.11,0.56,165.38
2013-01-25,3.6,0.34,26.63,2.85,92.5,100.01,0.65,114.0
2013-01-26,4.99,0.46,26.52,1.43,92.25,100.06,0.52,97.69
2013-01-27,4.97,0.46,26.45,4.02,90.38,100.17,0.45,152.12
2013-01-28,3.49,0.32,26.34,17.21,93.5,100.18,0.74,137.44
2013-01-29,4.36,0.41,26.15,21.76,94.94,100.11,0.61,232.5
2013-01-30,5.21,0.48,26.23,2.72,92.12,100.03,0.61,174.69
2013-01-31,5.93,0.55,26.88,0.0,89.5,99.87,0.73,14.38
2013-02-01,3.93,0.37,26.19,2.74,93.38,99.92,0.6,159.12
2013-02-02,3.41,0.31,26.44,0.63,90.12,100.01,0.62,41.19
