date_m,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,PRECTOTCORR,RH2M,PS,WS10M,WD10M
2013-01-01,5.33,0.52,25.44,11.31,90.06,100.37,0.88,157.31
2013-01-02,3.69,0.36,26.42,16.94,86.69,100.33,1.15,97.88
2013-01-03,4.18,0.41,25.79,6.5,91.38,100.49,1.13,72.44
2013-01-04,2.78,0.27,25.75,5.86,90.56,100.58,1.34,62.38
2013-01-05,4.23,0.41,26.13,10.08,89.44,100.51,1.39,73.75
2013-01-06,4.54,0.44,25.33,11.13,92.44,100.39,1.41,72.19
2013-01-07,5.25,0.51,26.6,5.6,89.69,100.29,1.38,78.69
2013-01-08,4.7,0.45,26.54,3.73,90.94,100.33,1.3,82.94
2013-01-09,5.02,0.48,26.84,4.12,88.25,100.35,1.33,67.19
2013-01-10,5.31,0.52,27.3,3.64,85.69,100.27,1.23,69.44
2013-01-11,3.63,0.35,26.76,6.12,90.38,100.1,1.16,104.19
2013-01-12,5.62,0.54,26.05,3.01,91.06,100.11,1.16,86.81
2013-01-13,5.84,0.56,26.27,1.0,90.19,100.26,1.16,100.94
2013-01-14,3.4,0.33,26.0,9.41,90.81,100.31,1.26,113.06
2013-01-15,5.0,0.48,25.73,9.32,93.81,100.23,1.12,93.94
2013-01-16,5.09,0.49,26.23,3.19,90.94,100.23,1.3,98.31
2013-01-17,4.41,0.42,26.73,1.83,89.94,100.34,1.16,103.75
2013-01-18,4.14,0.4,26.43,19.26,91.25,100.45,1.0,107.5
2013-01-19,2.46,0.23,25.87,11.45,95.56,100.4,1.11,83.0
2013-01-20,4.9,0.47,26.48,1.92,89.0,100.33,1.1,89.19
2013-01-21,6.25,0.6,27.37,0.15,85.81,100.26,1.48,91.62
2013-01-22,5.88,0.56,27.63,0.03,86.0,100.32,1.32,93.62
2013-01-23,6.02,0.58,27.7,2.19,85.19,100.41,1.05,80.38
2013-01-24,1.4,0.13,25.97,8.7,94.19,100.48,1.12,63.25
2013-01-25,5.75,0.55,27.33,0.71,86.38,100.4,1.29,71.06
2013-01-26,6.14,0.59,27.7,0.03,84.44,100.39,1.52,91.31
2013-01-27,6.01,0.57,27.58,0.47,85.75,100.45,1.27,94.69
2013-01-28,4.12,0.39,26.61,8.25,90.94,100.49,1.23,83.94
2013-01-29,4.73,0.45,25.95,10.11,92.25,100.47,1.02,95.56
2013-01-30,4.42,0.42,26.79,5.31,88.12,100.36,1.13,72.25
2013-01-31,4.59,0.44,26.96,3.01,89.88,100.23,1.22,67.44
2013-02-01,3.03,0.29,26.86,9.48,89.69,100.24,1.32,86.31
2013-02-02,4.68,0.45,26.08,5.61,91.38,100.39,1.17,110.0
2013-02-03,4.47,0.42,25.91,3.88,88.75,100.33,1.44,90.94
