date_m,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,PRECTOTCORR,RH2M,PS,WS10M,WD10M
2013-01-01,6.21,0.59,25.94,10.18,92.81,100.3,0.72,82.12
2013-01-02,3.78,0.36,25.22,25.54,96.31,100.3,0.55,236.75
2013-01-03,5.17,0.49,25.32,3.89,93.19,100.42,0.7,125.19
2013-01-04,3.86,0.37,25.44,5.16,93.38,100.53,0.66,58.19
2013-01-05,4.15,0.4,25.76,3.96,91.56,100.45,0.76,112.69
2013-01-06,5.12,0.48,26.56,1.01,88.5,100.3,0.86,65.44
2013-01-07,5.73,0.55,26.63,1.54,88.75,100.24,0.75,42.25
2013-01-08,3.55,0.34,26.06,17.8,93.62,100.29,0.55,116.5
2013-01-09,4.31,0.41,26.56,5.62,91.69,100.31,0.7,85.31
2013-01-10,4.29,0.41,25.9,42.56,94.19,100.26,0.67,215.94
2013-01-11,3.07,0.29,25.99,25.73,94.38,100.06,0.71,266.19
2013-01-12,2.27,0.22,25.93,2.99,92.81,100.05,0.78,69.38
2013-01-13,3.99,0.38,25.62,47.65,94.31,100.21,0.64,72.38
2013-01-14,3.17,0.3,25.46,13.41,94.38,100.25,0.72,87.5
2013-01-15,5.58,0.53,25.19,3.54,94.75,100.19,0.77,64.94
2013-01-16,4.54,0.43,25.62,3.1,91.38,100.2,0.83,80.38
2013-01-17,5.43,0.52,26.14,4.14,92.62,100.31,0.72,87.19
2013-01-18,3.93,0.38,25.76,11.45,94.5,100.42,0.74,82.25
2013-01-19,3.83,0.36,25.9,11.13,93.88,100.31,0.6,96.56
2013-01-20,5.6,0.53,26.44,3.54,89.75,100.28,0.69,71.19
2013-01-21,5.69,0.54,26.88,0.31,86.88,100.22,0.89,84.25
2013-01-22,5.78,0.55,26.96,1.07,88.38,100.31,0.64,99.12
2013-01-23,5.81,0.55,26.37,12.61,92.88,100.37,0.55,168.69
2013-01-24,2.25,0.21,25.8,12.67,95.25,100.39,0.75,39.81
2013-01-25,5.39,0.51,26.33,0.54,91.25,100.34,0.77,28.31
2013-01-26,6.25,0.59,26.73,0.02,89.62,100.34,0.73,86.31
2013-01-27,5.74,0.54,27.31,3.78,87.19,100.39,0.7,90.25
2013-01-28,2.04,0.2,26.4,6.26,94.5,100.43,0.77,115.44
2013-01-29,5.14,0.48,25.98,4.35,92.94,100.38,0.5,109.88
2013-01-30,4.06,0.38,25.75,40.17,94.94,100.31,0.7,37.88
2013-01-31,5.15,0.48,26.48,10.33,92.06,100.15,0.9,49.75
2013-02-01,3.29,0.3,25.83,3.89,95.69,100.2,0.65,62.62
2013-02-02,4.54,0.42,25.1,1.89,92.62,100.33,0.88,72.44
2013-02-03,3.37,0.31,25.41,2.4,93.19,100.28,0.76,88.31
2013-02-04,4.77,0.45,26.0,0.76,88.44,100.2,0.7,77.19
2013-02-05,3.71,0.34,26.43,3.62,90.69,100.26,0.64,156.69
2013-02-06,2.44,0.23,25.41,29.79,95.62,100.31,0.8,240.06
2013-02-07,4.82,0.45,25.15,19.2,93.69,100.21,0.59,215.56
2013-02-08,3.99,0.38,24.36,10.43,96.31,100.25,0.73,53.69
2013-02-09,4.93,0.46,25.57,6.49,91.75,100.26,0.71,50.31
2013-02-10,4.7,0.44,24.98,11.25,93.94,100.32,0.6,125.0
2013-02-11,1.58,0.15,25.21,33.17,93.5,100.34,0.68,91.38
2013-02-12,4.88,0.45,24.51,39.92,92.5,100.42,0.55,108.94
2013-02-13,5.74,0.54,25.33,14.45,90.25,100.37,0.74,73.5
