date_m,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,PRECTOTCORR,RH2M,PS,WS10M,WD10M
2013-01-01,5.03,0.49,26.34,2.57,84.88,100.72,2.0,62.25
2013-01-02,2.86,0.28,27.02,11.08,82.81,100.68,1.77,67.0
2013-01-03,4.71,0.46,26.4,12.67,86.19,100.86,1.8,53.19
2013-01-04,2.75,0.27,26.47,17.78,86.62,100.94,1.92,55.56
2013-01-05,4.63,0.45,26.41,10.58,87.44,100.88,1.92,68.25
2013-01-06,6.21,0.61,26.83,2.96,84.81,100.73,2.26,66.31
2013-01-07,5.7,0.55,27.3,9.51,83.31,100.66,2.26,59.75
2013-01-08,5.46,0.53,26.81,10.67,88.19,100.7,2.12,51.94
2013-01-09,5.05,0.49,27.01,6.25,86.12,100.71,1.87,35.56
2013-01-10,4.96,0.48,26.33,7.78,88.44,100.66,1.39,112.75
2013-01-11,3.72,0.37,26.58,7.65,88.0,100.49,1.62,73.62
2013-01-12,4.63,0.45,26.71,3.3,87.75,100.49,1.91,70.88
2013-01-13,3.76,0.37,25.93,6.55,90.12,100.66,1.7,88.06
2013-01-14,3.87,0.38,26.69,7.98,87.81,100.66,1.67,72.81
2013-01-15,4.55,0.45,26.55,8.21,89.69,100.61,1.65,86.5
2013-01-16,4.05,0.39,26.28,16.57,88.5,100.62,1.74,80.06
2013-01-17,4.25,0.41,26.51,7.35,86.31,100.75,2.27,74.75
2013-01-18,4.51,0.44,26.65,23.67,87.88,100.78,1.39,78.19
2013-01-19,1.65,0.16,26.06,27.88,88.25,100.8,1.88,61.38
2013-01-20,4.26,0.41,26.97,3.35,83.62,100.71,2.05,65.88
2013-01-21,6.54,0.63,27.48,0.0,81.94,100.66,2.27,80.5
2013-01-22,6.12,0.59,27.67,0.46,83.06,100.72,2.18,62.75
2013-01-23,3.86,0.38,26.3,26.8,90.19,100.79,1.74,24.44
2013-01-24,2.01,0.2,25.62,28.35,91.62,100.86,1.81,36.88
2013-01-25,5.2,0.5,26.76,7.49,89.25,100.83,1.98,55.19
2013-01-26,5.29,0.51,26.87,13.55,88.56,100.82,2.13,61.81
2013-01-27,3.01,0.29,26.79,11.91,87.75,100.86,1.51,61.38
2013-01-28,4.17,0.4,26.74,50.58,89.56,100.83,1.84,153.56
2013-01-29,1.35,0.13,25.92,52.19,90.44,100.85,1.61,110.62
2013-01-30,4.84,0.46,27.26,5.31,82.06,100.73,1.77,78.06
2013-01-31,4.43,0.42,27.24,3.06,86.88,100.61,2.06,57.12
2013-02-01,4.0,0.38,26.77,3.83,88.31,100.62,1.85,56.06
2013-02-02,3.61,0.34,26.62,2.32,87.62,100.72,1.88,93.5
2013-02-03,4.58,0.44,26.62,2.27,86.12,100.69,1.77,76.25
2013-02-04,5.66,0.54,26.65,0.71,86.19,100.61,1.77,69.06
