date_m,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,PRECTOTCORR,RH2M,PS,WS10M,WD10M,WD50M
2013-01-01,2.77,0.28,25.57,4.34,93.75,99.79,0.6,195.0,193.31
2013-01-02,4.55,0.45,25.9,3.4,92.0,99.75,0.5,194.69,190.75
2013-01-03,3.71,0.38,25.98,4.0,91.88,99.89,0.61,158.94,158.5
2013-01-04,3.55,0.35,26.22,1.51,90.94,99.97,0.59,163.06,160.81
2013-01-05,5.25,0.52,26.51,0.79,89.12,99.88,0.73,120.38,119.44
2013-01-06,6.3,0.63,26.93,3.42,89.69,99.73,0.55,116.69,114.12
2013-01-07,5.26,0.52,26.39,2.61,92.06,99.68,0.72,116.81,115.62
2013-01-08,5.35,0.53,26.73,0.43,90.0,99.7,0.75,132.44,131.25
2013-01-09,4.88,0.48,26.86,1.88,90.06,99.73,0.76,128.44,127.5
2013-01-10,5.38,0.54,26.58,1.34,90.19,99.7,0.76,139.25,137.19
2013-01-11,3.75,0.38,26.62,0.5,89.81,99.56,0.58,231.94,230.5
2013-01-12,4.92,0.49,25.71,0.05,88.0,99.56,0.36,175.19,206.0
2013-01-13,5.4,0.54,26.51,0.02,88.88,99.62,0.63,119.12,118.44
2013-01-14,3.26,0.32,26.2,0.1,92.56,99.67,0.57,135.5,134.75
2013-01-15,4.5,0.45,26.19,0.42,90.94,99.62,0.54,146.88,144.88
2013-01-16,2.98,0.3,25.71,1.88,93.12,99.61,0.5,130.0,129.5
2013-01-17,5.45,0.54,26.82,0.45,89.06,99.71,0.61,141.56,140.69
2013-01-18,5.35,0.53,26.49,0.09,90.25,99.83,0.72,153.5,152.19
2013-01-19,3.38,0.34,26.54,0.06,89.94,99.74,0.73,154.44,152.44
2013-01-20,5.58,0.55,26.7,1.63,89.38,99.7,0.57,134.75,134.44
2013-01-21,3.62,0.36,26.34,4.05,94.44,99.64,0.65,124.62,122.94
2013-01-22,4.94,0.48,26.11,1.63,93.0,99.78,0.59,140.25,139.19
2013-01-23,4.55,0.45,26.21,0.82,91.06,99.87,0.82,169.25,168.75
2013-01-24,5.01,0.49,26.28,2.15,92.19,99.9,0.65,200.12,199.5
2013-01-25,6.02,0.59,26.26,0.28,91.5,99.77,0.74,127.56,129.06
2013-01-26,5.39,0.52,26.69,0.09,90.56,99.74,0.74,139.75,142.06
2013-01-27,5.66,0.55,26.94,0.11,90.5,99.82,0.67,170.69,169.56
2013-01-28,5.8,0.57,26.17,15.2,95.62,99.9,0.63,213.56,211.81
2013-01-29,2.84,0.27,25.44,11.99,97.12,99.89,0.67,205.31,204.75
2013-01-30,4.64,0.45,25.85,5.61,93.75,99.82,0.57,176.88,175.56
2013-01-31,4.65,0.45,26.83,2.14,90.62,99.64,0.51,152.38,152.75
2013-02-01,4.65,0.45,26.92,0.59,88.31,99.61,0.6,176.75,162.0
2013-02-02,3.78,0.37,26.0,15.75,95.0,99.75,0.67,141.06,139.12
2013-02-03,5.41,0.52,25.98,13.76,93.75,99.71,0.59,134.69,131.12
2013-02-04,4.45,0.43,25.87,8.29,92.69,99.68,0.57,153.44,152.19
2013-02-05,2.23,0.22,25.38,8.55,95.06,99.75,0.51,179.38,181.5
2013-02-06,2.05,0.2,25.2,20.73,93.5,99.83,0.63,133.81,135.06
2013-02-07,5.41,0.52,25.83,11.84,91.56,99.71,0.8,121.44,121.69
2013-02-08,3.95,0.38,25.44,6.64,94.75,99.68,0.77,119.88,120.0
2013-02-09,4.83,0.47,26.08,1.3,90.06,99.71,0.57,108.0,106.19
2013-02-10,2.02,0.2,25.4,3.6,93.31,99.81,0.63,191.25,180.0
2013-02-11,3.8,0.37,24.69,0.71,92.81,99.85,0.63,134.19,133.31
2013-02-12,5.13,0.49,25.93,0.68,87.75,99.83,0.68,111.56,108.94
2013-02-13,3.89,0.38,25.5,6.51,89.94,99.87,0.49,149.19,159.12
2013-02-14,4.21,0.41,25.97,4.1,90.56,99.88,0.42,164.88,160.62
2013-02-15,5.28,0.51,25.3,2.18,91.69,99.96,0.73,145.31,142.75
2013-02-16,5.11,0.49,25.45,0.35,88.44,99.82,0.84,132.0,134.19
2013-02-17,3.83,0.37,25.41,3.95,92.38,99.77,0.81,132.81,131.88
2013-02-18,4.75,0.45,25.58,3.96,92.5,99.8,0.51,139.38,134.81
