date_m,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,PRECTOTCORR,RH2M,PS,WS10M,WD10M
2013-01-01,4.66,0.45,25.66,22.02,93.88,100.11,0.45,222.62
2013-01-02,3.62,0.35,25.48,39.02,94.5,100.09,0.59,124.0
2013-01-03,4.66,0.45,25.69,18.21,92.75,100.19,0.76,75.06
2013-01-04,4.39,0.43,25.17,8.95,96.19,100.3,0.67,129.81
2013-01-05,4.36,0.42,25.83,2.6,91.38,100.21,0.76,85.94
2013-01-06,5.77,0.56,25.92,0.92,91.62,100.08,0.7,105.38
2013-01-07,5.95,0.58,26.33,2.15,90.31,99.99,0.75,92.06
2013-01-08,5.56,0.54,26.51,0.63,90.81,100.04,0.67,106.75
2013-01-09,3.94,0.38,26.35,3.49,92.38,100.07,0.73,110.81
2013-01-10,4.38,0.42,26.38,1.49,92.0,100.03,0.8,125.25
2013-01-11,5.39,0.52,26.24,1.11,91.12,99.87,0.67,239.75
2013-01-12,3.86,0.38,25.93,3.88,91.94,99.83,0.76,204.5
2013-01-13,4.73,0.45,26.08,10.3,92.69,99.93,0.62,69.25
2013-01-14,4.42,0.42,25.59,5.86,94.31,100.0,0.55,108.44
2013-01-15,4.75,0.46,25.58,4.94,94.12,99.94,0.62,75.88
2013-01-16,4.81,0.46,25.44,4.36,95.12,99.92,0.59,114.0
2013-01-17,5.0,0.48,25.8,9.8,93.06,100.05,0.8,104.62
2013-01-18,4.33,0.41,25.51,31.79,96.69,100.18,0.79,108.44
2013-01-19,3.86,0.37,26.49,3.69,90.31,100.05,0.6,76.94
2013-01-20,5.13,0.49,26.46,0.26,88.62,100.03,0.65,73.44
2013-01-21,5.92,0.57,25.98,3.55,91.62,99.97,0.8,101.06
2013-01-22,4.65,0.45,26.01,1.03,92.25,100.08,0.64,130.31
2013-01-23,5.43,0.52,26.62,0.76,89.19,100.16,0.59,159.88
2013-01-24,4.94,0.47,26.48,0.49,90.38,100.17,0.55,168.56
2013-01-25,5.1,0.48,26.77,1.25,89.81,100.07,0.66,45.38
2013-01-26,5.87,0.56,26.63,1.32,91.88,100.07,0.56,113.06
2013-01-27,6.34,0.6,27.03,0.49,90.38,100.15,0.62,141.06
2013-01-28,4.55,0.43,26.66,38.64,93.5,100.18,0.63,158.25
2013-01-29,3.72,0.35,26.56,8.3,91.5,100.17,0.5,149.31
2013-01-30,4.88,0.46,26.07,6.12,93.25,100.09,0.77,74.56
2013-01-31,5.71,0.54,26.49,6.2,93.31,99.93,0.89,43.44
2013-02-01,3.73,0.35,25.84,40.41,96.62,99.96,0.61,57.62
2013-02-02,3.6,0.34,25.91,13.31,93.0,100.06,0.64,83.88
2013-02-03,4.95,0.47,25.99,5.27,91.88,100.04,0.62,104.69
2013-02-04,4.05,0.38,24.67,14.92,94.88,100.03,0.49,156.88
2013-02-05,3.66,0.34,24.78,22.31,96.31,100.1,0.61,223.75
2013-02-06,4.85,0.46,24.94,11.92,93.75,100.12,0.52,117.88
2013-02-07,5.22,0.49,25.41,0.09,89.0,100.01,0.7,38.75
